Seq,V1,V2,V3,V4,V5,V6,V7,V8
1,375,135,458,475,509,336,469,492
2,57,47,53,73,63,62,63,58
3,245,267,242,227,271,219,268,286
4,1472,1494,1462,1582,1613,1323,1490,1493
5,105,66,103,103,118,98,101,118
6,54,41,62,64,55,59,63,59
7,193,209,184,235,207,172,223,156
8,147,93,122,160,139,130,152,101
9,1102,674,957,1137,1058,990,1098,878
10,720,1033,566,874,628,646,706,320
11,253,143,171,265,193,226,247,99
12,685,586,750,803,830,615,699,777
13,488,355,418,570,465,437,467,313
14,198,187,220,203,247,176,209,204
15,360,334,337,365,376,322,363,348
16,1374,1506,1572,1256,1734,1235,1597,1684
17,156,139,147,175,167,138,164,170

